"county","precinct","office","district","party","candidate","votes"
"Rensselaer","Schodack 4","President","","REP","Donald J. Trump","370"
"Rensselaer","Schodack 5","President","","REP","Donald J. Trump","165"
"Rensselaer","Schodack 6","President","","REP","Donald J. Trump","345"
"Rensselaer","Schodack 7","President","","REP","Donald J. Trump","330"
"Rensselaer","Schodack 8","President","","REP","Donald J. Trump","319"
"Rensselaer","Schodack 9","President","","REP","Donald J. Trump","154"
"Rensselaer","Schodack 10","President","","REP","Donald J. Trump","245"
"Rensselaer","Schodack 11","President","","REP","Donald J. Trump","291"
"Rensselaer","Stephentown 1","President","","REP","Donald J. Trump","283"
"Rensselaer","Stephentown 2","President","","REP","Donald J. Trump","325"
"Rensselaer","Troy 1","President","","CON","Donald J. Trump","41"
"Rensselaer","Troy 2","President","","CON","Donald J. Trump","27"
"Rensselaer","Troy 3","President","","CON","Donald J. Trump","35"
"Rensselaer","Troy 4","President","","CON","Donald J. Trump","40"
"Rensselaer","Troy 5","President","","CON","Donald J. Trump","27"
"Rensselaer","Troy 6","President","","CON","Donald J. Trump","42"
"Rensselaer","Troy 7","President","","CON","Donald J. Trump","37"
"Rensselaer","Troy 8","President","","CON","Donald J. Trump","33"
"Rensselaer","Troy 9","President","","CON","Donald J. Trump","19"
"Rensselaer","Troy 10","President","","CON","Donald J. Trump","13"
"Rensselaer","Troy 11","President","","CON","Donald J. Trump","21"
"Rensselaer","Troy 12","President","","CON","Donald J. Trump","26"
"Rensselaer","Troy 13","President","","CON","Donald J. Trump","26"
"Rensselaer","Troy 14","President","","CON","Donald J. Trump","39"
"Rensselaer","Troy 15","President","","CON","Donald J. Trump","12"
"Rensselaer","Troy 16","President","","CON","Donald J. Trump","17"
"Rensselaer","Troy 17","President","","CON","Donald J. Trump","15"
"Rensselaer","Troy 18","President","","CON","Donald J. Trump","10"
"Rensselaer","Troy 19","President","","CON","Donald J. Trump","24"
"Rensselaer","Troy 20","President","","CON","Donald J. Trump","30"
"Rensselaer","Troy 21","President","","CON","Donald J. Trump","34"
"Rensselaer","Troy 22","President","","CON","Donald J. Trump","29"
"Rensselaer","Troy 23","President","","CON","Donald J. Trump","10"
"Rensselaer","Troy 24","President","","CON","Donald J. Trump","49"
"Rensselaer","Troy 25","President","","CON","Donald J. Trump","39"
"Rensselaer","Troy 26","President","","CON","Donald J. Trump","22"
"Rensselaer","Troy 27","President","","CON","Donald J. Trump","19"
"Rensselaer","Troy 28","President","","CON","Donald J. Trump","13"
"Rensselaer","Troy 29","President","","CON","Donald J. Trump","31"
"Rensselaer","Troy 30","President","","CON","Donald J. Trump","37"
"Rensselaer","Rensselaer 1","President","","CON","Donald J. Trump","33"
"Rensselaer","Rensselaer 2","President","","CON","Donald J. Trump","24"
"Rensselaer","Rensselaer 3","President","","CON","Donald J. Trump","18"
"Rensselaer","Rensselaer 4","President","","CON","Donald J. Trump","21"
"Rensselaer","Rensselaer 5","President","","CON","Donald J. Trump","27"
"Rensselaer","Rensselaer 6","President","","CON","Donald J. Trump","35"
"Rensselaer","Berlin 1","President","","CON","Donald J. Trump","39"
"Rensselaer","Berlin 2","President","","CON","Donald J. Trump","26"
"Rensselaer","Brunswick 1","President","","CON","Donald J. Trump","87"
"Rensselaer","Brunswick 2","President","","CON","Donald J. Trump","50"
"Rensselaer","Brunswick 3","President","","CON","Donald J. Trump","42"
"Rensselaer","Brunswick 4","President","","CON","Donald J. Trump","55"
"Rensselaer","Brunswick 5","President","","CON","Donald J. Trump","73"
"Rensselaer","Brunswick 6","President","","CON","Donald J. Trump","36"
"Rensselaer","Brunswick 7","President","","CON","Donald J. Trump","14"
"Rensselaer","Brunswick 8","President","","CON","Donald J. Trump","79"
"Rensselaer","Brunswick 9","President","","CON","Donald J. Trump","93"
"Rensselaer","Brunswick 10","President","","CON","Donald J. Trump","42"
