"county","precinct","office","district","party","candidate","votes"
"Fulton","Gloversville Ward 6 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",212
"Fulton","Johnstown Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",216
"Fulton","Johnstown Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",273
"Fulton","Johnstown Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",227
"Fulton","Johnstown Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",275
"Fulton","Johnstown Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",236
"Fulton","Johnstown Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",221
"Fulton","Johnstown Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",258
"Fulton","Johnstown Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","REP","Elise Stefanik",225
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",18
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",36
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",61
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",25
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",35
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",43
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",45
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",46
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",36
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",34
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",44
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",32
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",30
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",49
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",45
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",60
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",8
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",35
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",53
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",51
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",71
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",22
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",22
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",24
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",13
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",15
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",24
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",16
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",12
"Fulton","Gloversville Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",15
"Fulton","Gloversville Ward 5 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",27
"Fulton","Gloversville Ward 5 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",25
"Fulton","Gloversville Ward 6 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",16
"Fulton","Gloversville Ward 6 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",22
"Fulton","Johnstown Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",21
"Fulton","Johnstown Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",25
"Fulton","Johnstown Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",19
"Fulton","Johnstown Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",19
"Fulton","Johnstown Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",21
"Fulton","Johnstown Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",20
"Fulton","Johnstown Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",25
"Fulton","Johnstown Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","CON","Elise Stefanik",19
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",5
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",12
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",16
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",11
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",13
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",20
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",16
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",22
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",19
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",13
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",8
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",10
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",17
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",10
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",0
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",14
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",14
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",17
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",25
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",6
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",15
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",13
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",12
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",12
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",11
"Fulton","Gloversville Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Gloversville Ward 5 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",15
"Fulton","Gloversville Ward 5 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",15
"Fulton","Gloversville Ward 6 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",12
"Fulton","Gloversville Ward 6 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",10
"Fulton","Johnstown Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",5
"Fulton","Johnstown Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",15
"Fulton","Johnstown Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Johnstown Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",12
"Fulton","Johnstown Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",15
"Fulton","Johnstown Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",9
"Fulton","Johnstown Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",11
"Fulton","Johnstown Ward 4 Dist 2","U.S. House of Representatives","21st Congressional","IND","Elise Stefanik",7
"Fulton","Bleecker","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Broadalbin 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Broadalbin 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",5
"Fulton","Broadalbin 3","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Broadalbin 4","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Caroga","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
